unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,is higher lower
1618304400,2021-04-13 10:00:00,BTC/USD,62651.75,63199.44,62260.41,62886.44,19628420.22,312.1248431,0
1618308000,2021-04-13 11:00:00,BTC/USD,62881.21,63053.6,62434.34,62740.92,17866126.29,284.7603492,1
1618311600,2021-04-13 12:00:00,BTC/USD,62763.62,63090.09,62512.94,62954.48,12604994.66,200.2239501,1
1618315200,2021-04-13 13:00:00,BTC/USD,62957.55,63275.0,62777.78,63031.56,20173714.89,320.0573632,0
1618318800,2021-04-13 14:00:00,BTC/USD,63031.4,63090.0,62550.0,62824.61,16926943.91,269.4317387,1
1618322400,2021-04-13 15:00:00,BTC/USD,62812.31,63067.51,62629.16,62957.18,11860521.16,188.3902862,1
1618326000,2021-04-13 16:00:00,BTC/USD,62969.63,63705.97,62778.85,63399.33,24454328.15,385.7190312,0
1618329600,2021-04-13 17:00:00,BTC/USD,63380.27,63769.0,63000.37,63175.2,12532979.29,198.3844815,0
1618336800,2021-04-13 19:00:00,BTC/USD,63361.94,63586.28,62601.0,62648.48,16066661.29,256.45732,1
1618340400,2021-04-13 20:00:00,BTC/USD,62653.78,63100.0,62570.6,63044.49,14985738.11,237.7009967,1
1618347600,2021-04-13 22:00:00,BTC/USD,63203.99,63325.21,62856.29,63148.69,5200177.683,82.3481482,1
1618354800,2021-04-14 00:00:00,BTC/USD,63225.2,63682.24,62836.04,63564.48,5998083.276,94.36218587,0
1618362000,2021-04-14 02:00:00,BTC/USD,63288.05,63860.71,63133.45,63496.86,8064108.673,127.0001174,1
1618369200,2021-04-14 04:00:00,BTC/USD,63237.59,63908.92,63080.33,63788.47,10748492.27,168.5021175,1
1618376400,2021-04-14 06:00:00,BTC/USD,64281.37,64587.15,63639.89,64069.06,10925622.3,170.5288372,1
1618380000,2021-04-14 07:00:00,BTC/USD,64072.96,64895.22,63950.0,64616.8,15554749.37,240.7229911,0
1618383600,2021-04-14 08:00:00,BTC/USD,64554.29,64669.0,64323.21,64346.64,13258399.76,206.0464969,0
1618394400,2021-04-14 11:00:00,BTC/USD,64422.28,64522.95,61417.52,64144.73,50083259.55,780.7852578,1
1618398000,2021-04-14 12:00:00,BTC/USD,64153.09,64843.74,64150.0,64559.91,12950652.24,200.5989823,0
1618401600,2021-04-14 13:00:00,BTC/USD,64581.81,64684.78,63637.93,63918.8,12357401.79,193.3296901,0
1618405200,2021-04-14 14:00:00,BTC/USD,63918.8,64581.77,63578.58,63787.54,23288717.12,365.098217,0
1618408800,2021-04-14 15:00:00,BTC/USD,63788.09,63788.09,62510.03,63005.53,32851475.35,521.4062218,1
1618412400,2021-04-14 16:00:00,BTC/USD,62967.61,63350.0,62350.0,63050.29,16242205.44,257.6071489,1
1618416000,2021-04-14 17:00:00,BTC/USD,63027.43,63743.1,62802.0,63554.25,30914367.38,486.4248635,0
1618419600,2021-04-14 18:00:00,BTC/USD,63540.82,63780.74,62245.0,62277.43,17077970.89,274.2240791,0
1618423200,2021-04-14 19:00:00,BTC/USD,62253.16,62674.0,61560.72,62087.76,28080663.41,452.2737397,1
1618426800,2021-04-14 20:00:00,BTC/USD,62041.09,62481.49,61327.0,62139.52,18092275.67,291.1557037,1
1618430400,2021-04-14 21:00:00,BTC/USD,62140.95,62477.83,61853.31,62371.44,17188294.29,275.5795648,1
1618434000,2021-04-14 22:00:00,BTC/USD,62402.58,62858.25,62348.94,62747.85,20674031.42,329.477925,1
1618437600,2021-04-14 23:00:00,BTC/USD,62747.89,63055.22,62557.92,62847.31,13071819.27,207.9932979,0
1618444800,2021-04-15 01:00:00,BTC/USD,62954.2,63432.3,62614.45,62716.76,10152888.63,161.8847758,1
1618452000,2021-04-15 03:00:00,BTC/USD,62664.27,63188.81,62332.96,62885.38,12203859.4,194.0651293,1
1618459200,2021-04-15 05:00:00,BTC/USD,63074.28,63500.0,62667.16,62973.66,10332800.06,164.081301,0
1618466400,2021-04-15 07:00:00,BTC/USD,63155.82,63333.0,62701.03,62965.18,8186700.443,130.0194876,0
1618473600,2021-04-15 09:00:00,BTC/USD,62853.8,63228.4,62515.0,62617.7,11825177.99,188.8472107,0
1618480800,2021-04-15 11:00:00,BTC/USD,62632.66,62844.03,62125.92,62169.0,8666510.173,139.4024381,1
1618488000,2021-04-15 13:00:00,BTC/USD,62349.06,62761.27,61998.9,62666.62,10727628.67,171.1856914,1
1618491600,2021-04-15 14:00:00,BTC/USD,62666.62,63132.99,62650.09,62965.41,12377913.94,196.5827578,0
1618498800,2021-04-15 16:00:00,BTC/USD,62687.55,63060.51,62440.56,62777.22,9563983.142,152.3479877,0
1618502400,2021-04-15 17:00:00,BTC/USD,62779.77,63019.25,62515.0,62714.74,10150296.71,161.8486613,1
1618513200,2021-04-15 20:00:00,BTC/USD,62809.18,63661.56,62359.21,63460.99,22727123.6,358.1274669,0
1618520400,2021-04-15 22:00:00,BTC/USD,63416.62,63855.37,63225.03,63455.56,7342841.626,115.7162844,0
1618527600,2021-04-16 00:00:00,BTC/USD,63326.73,63620.8,63074.91,63239.19,6045072.344,95.59060361,0
1618534800,2021-04-16 02:00:00,BTC/USD,63429.65,63580.4,62771.04,63089.48,9663738.68,153.1751202,0
1618542000,2021-04-16 04:00:00,BTC/USD,62879.02,63300.5,62780.42,63006.05,10074582.45,159.8986517,0
1618545600,2021-04-16 05:00:00,BTC/USD,63001.2,63025.3,61666.0,61718.36,24076422.82,390.1014676,1
1618549200,2021-04-16 06:00:00,BTC/USD,61738.69,62259.42,61500.0,61879.24,16908341.53,273.2474014,0
1618552800,2021-04-16 07:00:00,BTC/USD,61860.12,61860.12,61125.07,61523.51,36482878.11,592.9908438,0
1618556400,2021-04-16 08:00:00,BTC/USD,61501.77,61692.09,61099.25,61457.63,14984727.3,243.822082,0
1618560000,2021-04-16 09:00:00,BTC/USD,61484.06,61670.65,61162.3,61277.91,18633012.54,304.0738913,0
1618563600,2021-04-16 10:00:00,BTC/USD,61259.16,61343.77,60460.0,60692.02,20581633.45,339.1159735,0
1618567200,2021-04-16 11:00:00,BTC/USD,60692.03,60979.36,60254.84,60305.83,16374704.58,271.527721,1
1618570800,2021-04-16 12:00:00,BTC/USD,60289.04,60938.31,60042.04,60895.51,27020781.07,443.7237009,0
1618574400,2021-04-16 13:00:00,BTC/USD,60892.05,61089.24,60605.47,60799.8,25106921.3,412.944143,0
1618578000,2021-04-16 14:00:00,BTC/USD,60799.8,61334.4,60332.39,60730.08,27626357.9,454.9040261,1
1618581600,2021-04-16 15:00:00,BTC/USD,60707.82,61639.6,60671.86,61434.65,18783233.73,305.743318,1
1618585200,2021-04-16 16:00:00,BTC/USD,61433.27,61810.83,61278.87,61720.47,16012898.07,259.4422575,1
1618588800,2021-04-16 17:00:00,BTC/USD,61719.61,61937.54,61339.67,61828.85,14668612.21,237.2454318,1
